depth,d18O,d17O,dD,dxs,CH4,CO,concentration,total_counts,small,medium,large,XL,small_percentage,medium_percentage,large_percentage,XL_percentage,age
57.6,-35.865944645171126,-19.102296331621805,-287.384520074339,-0.4569629129699677,645.2588689134683,0.06950972505684745,3539.639285519242,297.111111114,237.11111110799996,49.333333343999996,10.666666661999999,0.0,79.80553477753368,16.604338073735335,3.5901271487309856,0.0,
57.65,-35.57202523461698,-18.908235112257202,-285.3329579573776,-0.7567560804417492,628.8316082585021,0.08312008973774221,4400.581521714034,1172.424242426,960.6666666658183,170.06060605963637,37.33333333690909,4.363636363636363,81.47194282748562,14.964221760240099,3.2730555568567454,0.29077985541753576,
57.7,-36.04426298812171,-19.161616852974603,-288.8671792598189,-0.5130753548452578,627.9182652364989,0.09162392587780453,1834.745845425982,908.888888882,744.88888889,130.999999992,29.666666667000005,3.333333333,81.69313210549412,14.532682973302096,3.4691581435144343,0.30502677768935815,
57.75,-36.10867683962263,-19.15732495847402,-289.3546332490604,-0.48521853207930465,615.8692212492421,0.0919686829824717,1639.7913234006157,317.111111096,257.77777778,46.666666656,11.999999993999998,0.666666666,81.28941836477063,14.716187803924807,3.7841625771249636,0.2102312541796046,
57.8,-35.902767025250036,-19.044107551405013,-288.9112858602679,-1.6891496582676089,604.5077773478447,0.08084882798387,2022.3441987608142,317.111111096,257.77777778,46.666666656,11.999999994,0.666666666,81.28941836477063,14.716187803924806,3.7841625771249636,0.21023125417960462,
57.85,-35.89451745498738,-19.057183829653592,-288.4447388485695,-1.2885992086704985,596.7826066286308,0.07230753829387218,3465.5440950411958,661.6833333220001,545.033333335,91.849999992,21.8999999955,2.8999999995000003,81.71143088458422,14.390331840321215,3.5990043204808586,0.2992329546137054,
57.9,-35.9654656912358,-19.060921612226362,-288.67528935585705,-0.951563825970597,602.5787814501645,0.07835144419274437,2075.569450755067,1695.4,1406.8,227.4,51.6,9.600000000000001,82.977468444025,13.41276394951044,3.0435295505485427,0.5662380559160081,
57.95,-35.88806139626616,-19.064957177903796,-288.3219602337025,-1.2174690635731993,603.0928178046103,0.087464291732,1845.0153197010688,1695.4,1406.8,227.4,51.6,9.600000000000001,82.977468444025,13.41276394951044,3.0435295505485427,0.5662380559160081,
58.0,-35.90296480094549,-19.118198992318607,-288.30373113517066,-1.0800127276067624,602.4051980292893,0.08775142579404081,1610.16521447586,1695.4,1406.8,227.4,51.6,9.600000000000001,82.977468444025,13.41276394951044,3.0435295505485427,0.5662380559160081,
58.05,-35.80251660221116,-19.04957344597875,-287.3109310822094,-0.8907982645200179,599.0416522617359,0.08412207314870589,2589.339780028495,1695.4,1406.8,227.4,51.6,9.600000000000001,82.977468444025,13.41276394951044,3.0435295505485427,0.5662380559160081,
58.1,-35.76880492863733,-19.021805664222107,-286.51203601282805,-0.361596583729478,597.5186640687403,0.07559663853331068,3664.8951888126367,1695.4,1406.8,227.4,51.6,9.600000000000001,82.977468444025,13.41276394951044,3.0435295505485427,0.566238055916008,
58.15,-35.9565881500181,-19.1261952302359,-287.3923875402404,0.260317659904392,581.9879694937736,0.07750386461854006,6271.871013599027,2512.8000000554284,1961.600000057714,456.79999999542855,84.34285714285714,10.057142859428572,79.55062276364083,16.737081144007004,3.261841354620638,0.4504547377315246,
58.2,-35.90100872641335,-19.135519959776275,-286.7174714264065,0.4905983849003254,603.8285019738845,0.10241777531972997,1911.9570990717982,3602.666666796,2701.3333334679996,762.666666656,128.0,10.666666672,74.98149518979525,21.169504070002425,3.5529237600500987,0.29607698015221334,
58.25,-35.959344457360054,-19.111055000789648,-287.3614604899697,0.3132951689108239,612.8871356985625,0.1006367952941775,1794.1492309279452,3602.6666667959994,2701.3333334679996,762.6666666560001,128.0,10.666666672,74.98149518979525,21.169504070002425,3.5529237600500987,0.29607698015221334,
58.3,-36.00113447820806,-19.171220557158332,-287.29512433432285,0.7139514913416025,611.9786899074048,0.09800020515602374,7824.640612669342,3602.6666667959994,2701.3333334679996,762.6666666560001,128.0,10.666666672,74.98149518979525,21.169504070002425,3.5529237600500987,0.29607698015221334,
58.35,-36.11328106978659,-19.233714964239212,-288.3328106009237,0.5734379573689665,618.2788931668953,0.09720190059551335,3357.9338330565365,2795.660714355,2120.5892857864283,565.2678571371429,102.0,7.803571431428572,76.28806969927975,19.745012164842983,3.6962493824311595,0.27066875344609864,
58.4,-36.099916327389266,-19.22323602125699,-288.10445994734283,0.6948706717713439,614.8795200474898,0.09987351534702968,1909.979421792941,1768.9047619077141,1378.9047619094285,319.2857142891429,65.99999999571428,4.714285713428572,78.02770008120885,18.02521817204937,3.668501539899658,0.2785802068421313,
58.45,-35.86165194727219,-19.094694540639455,-286.4763111594974,0.41690441868024924,609.0305550053591,0.09326513395637001,1830.8708585972524,1195.333333354,949.333333366,210.000000024,29.99999997,5.999999994,79.41996653789069,17.568321251006907,2.5097601759186827,0.5019520351837365,
58.5,-35.67176230483041,-18.943902195276138,-285.54638665307573,-0.17228821443251638,609.8497733277964,0.09197676719329236,2691.6833800377417,1682.3218390864138,1330.3908046123447,309.3103448515862,39.931034452758624,2.689655169724138,79.1452486817921,18.230238463955764,2.3994998729628794,0.2250129812892612,
58.55,-36.03550271820538,-19.172683939472623,-288.4462855968749,-0.16226385123185835,628.5968632609575,0.09350329381089369,2925.7621638579153,2222.160714285286,1808.3035714285713,351.0000000017143,59.142857140714284,3.7142857142857144,81.3637282876095,15.810197795492838,2.659756410380893,0.16631750651676766,
58.6,-36.13064927765967,-19.135260800721174,-289.49055922797385,-0.44536500669636525,652.1812549859006,0.09968620332863115,2500.5589390206787,2233.25,1821.25,348.0,60.0,4.0,81.55155043098623,15.582670995186385,2.68666741296317,0.17911116086421133,
58.65,-36.21680590834992,-19.328406831120233,-289.12036140513754,0.6140858616617809,647.7440333744979,0.09221954460795469,2147.0305534862814,2233.25,1821.25,348.0,60.0,4.0,81.55155043098623,15.582670995186389,2.6866674129631702,0.17911116086421133,
58.7,-36.259546268853576,-19.287127663729123,-289.6441777522925,0.4321923985361023,629.2829639844001,0.0963922899938382,9265.547818744757,2233.25,1821.25,348.0,60.0,4.0,81.55155043098623,15.582670995186385,2.68666741296317,0.17911116086421133,
58.75,-35.76563169662925,-18.86716599058586,-285.850662138222,0.2743914348118386,624.1814136070624,0.09876946307258065,12369.80311751546,2233.25,1821.25,348.0,60.0,4.0,81.55155043098623,15.582670995186385,2.68666741296317,0.17911116086421133,
58.85,-36.378238132297945,-19.365498844257427,-290.4880844008792,0.5378206575043518,609.2171031593942,0.08078898710271237,3325.128511094074,2401.5,1861.5,405.0,108.0,27.0,77.51405371642723,16.864459712679576,4.497189256714553,1.1242973141786383,
58.9,-36.22523569947222,-19.3112585712838,-288.77670504910503,1.0251805466727304,646.4239292884198,0.07947443249504511,2735.6212358207663,2143.521317855372,1714.2422480849998,335.75581395523255,75.13953488372093,18.383720931418605,79.35288706416172,15.783107867721746,3.8503043016593748,1.0137007664571605,
58.95,-36.120027414907,-19.24556607645903,-288.6633067924829,0.2969125267730872,662.6002643517738,0.08068934145442035,17499.39016644735,4161.405038724697,3151.434108514186,840.1666666467441,154.6647286807442,15.139534883023256,78.87914965675441,16.948258399815355,3.550134108498092,0.6224578349321443,
59.0,-35.721066421713644,-19.016078984224603,-285.1891071864254,0.5794241872837029,637.6738009616071,0.07675067000823992,5947.742335670319,5016.1782944925935,3804.7364340172207,1006.7209302345349,189.1976744268837,15.523255813953488,79.11190020328172,17.183782017186555,3.4353332679052673,0.26898451162644427,
59.05,-35.899764501007766,-19.107089177146833,-287.2551479396284,-0.05703193156634767,632.8317410619362,0.07555873280172727,2863.220580120447,1552.333333225,1192.333333225,290.00000001,54.99999999,15.0,76.8091045721415,18.68155465086354,3.5430534675008576,0.9662873094941045,
59.1,-36.19819385299205,-19.29038236514039,-289.7324431224175,-0.1468922984811375,637.1147905013906,0.07415384875460757,4381.111811787981,1430.801801716892,1109.7207206358107,262.3243243321622,46.99999999216216,11.756756756756756,77.89314077865487,18.179489899425096,3.170008998262492,0.7573603236575412,
59.15,-36.302851321928934,-19.287864622275006,-290.3705523803179,0.05225819511361521,615.1769165557797,0.0726164789037983,3393.686970970099,990.25,810.25,162.0,18.0,0.0,81.82277202726584,16.359505175460743,1.8177227972734156,0.0,
59.2,-36.076666567356405,-19.21182968366064,-288.2352920585159,0.37804048033542864,608.0176263909708,0.07280305388415648,1822.2977793517637,990.25,810.25,162.0,18.0,0.0,81.82277202726584,16.359505175460743,1.8177227972734156,0.0,
59.25,-36.1445544274657,-19.21881866101694,-288.54196086878426,0.6144745509413585,614.9059321258444,0.07192357578207005,1557.2467711669221,990.25,810.25,162.0,18.0,0.0,81.82277202726584,16.359505175460743,1.8177227972734156,0.0,
59.3,-35.88474950442873,-19.099571160053173,-286.9243344780792,0.15366155735068293,617.1481722078548,0.076059271360763,1746.0324927982967,848.6619496650944,648.3789308212264,169.2327043943396,29.32075470283019,1.7295597466981132,76.13508317259509,20.17802876424438,3.4275837532877933,0.259304309872729,
59.35,-35.79285633305498,-19.056363913892426,-285.98426262956764,0.3585880348721492,617.6223156800513,0.061457786899085716,1405.0363047385076,1013.333333349,779.000000041,196.333333327,37.999999981,0.0,76.87500000285753,19.374999999075452,3.749999998067023,0.0,
59.4,-36.05211930425565,-19.169770696877915,-287.8722659768635,0.5446884571817397,621.9989602568032,0.0835528451911288,2013.4086685593577,667.0967741917418,544.3225806530968,96.06451614232257,21.870967723741938,4.838709672580646,82.26745470738771,13.692554134092449,3.2114449816995796,0.828546176820267,
