depth,d18O,dD,dxs,CH4,CO,CO2,concentration,XL,large,medium,small,total_counts,small_percentage,large_percentage,XL_percentage,flow_rate
38.16,-39.54302024,-312.0691639,4.27499807,562.9748794,0.176861111,93.06441667,21193.66352,0.084048222,2.852631782,68.21156947,997.6721063,1068.820356,93.34670383,0.266085801,0.007421426,0.052595411
38.18,-39.31820254,-311.9287581,2.616862232,560.9905921,0.160777778,91.34633333,20051.6683,0.086661804,3.439007309,59.41126508,925.2371478,988.174082,93.63999589,0.349088312,0.009033172,0.052866497
38.2,-39.29166048,-311.7821497,2.551134115,558.8822368,0.168135135,89.40840541,17328.36567,0.060565311,2.792263911,52.90143266,857.0882158,912.8424776,93.87996492,0.305109621,0.006890048,0.053462533
38.22,-39.45696458,-311.7350226,3.92069403,551.9872588,0.166138889,87.1115,16260.30933,0,1.845310729,49.63026325,788.402183,839.877757,93.87260846,0.218528878,0,0.052287026
38.24,-39.37009617,-311.4623923,3.498377097,545.0274452,0.167694444,86.95055556,16445.88057,0.128613984,2.232371769,46.05327765,759.5119604,807.9262238,93.99972115,0.272669166,0.016318087,0.0539906
38.26,-39.40302573,-311.3393336,3.884872243,536.9125987,0.169472222,86.31547222,16341.26469,0.03958278,1.96666892,47.91609337,779.8291234,829.7514685,94.00021292,0.234288568,0.004799247,0.052380476
38.28,-39.3628158,-311.4898348,3.412691642,529.2716118,0.159166667,85.59594444,17459.44216,0.189561172,2.507409923,52.63178138,814.7309081,870.0596606,93.63485169,0.288667949,0.022021716,0.052887656
38.3,-39.29826547,-311.6900275,2.696096253,523.0065789,0.159162162,85.10759459,16394.58512,0,2.225258532,50.77763268,790.2269515,843.2298427,93.68501842,0.264334514,0,0.054057238
38.32,-39.28987473,-311.8529922,2.466005628,523.1114364,0.162,86.48841667,16778.50603,0.100555124,2.822473017,50.57806814,785.3650274,838.8661237,93.63618606,0.335253131,0.011940786,0.052164578
38.34,-39.27622594,-311.8064786,2.4033289,525.5399671,0.177444444,87.58130556,18058.98328,0.072581084,3.300558384,55.48930939,851.6648793,910.5273281,93.5287797,0.362668413,0.00867114,0.052966942
38.36,-39.22819762,-311.8362617,1.989319321,535.3133224,0.167805556,89.06813889,18772.17864,0,2.666939529,57.93213335,921.1261014,981.7251743,93.82876722,0.270157654,0,0.053183867
38.38,-39.26056627,-311.718878,2.365652188,549.0848684,0.161675676,87.92151351,20869.75225,0.094864904,2.528680086,61.86028363,1007.245758,1071.729586,93.97865687,0.2352196,0.00880463,0.052985333
38.4,-39.24042315,-311.5813281,2.342057074,553.9419298,0.176055556,85.39555556,23838.95289,0.173556751,3.948841367,70.26483565,1150.619757,1225.00699,93.91405636,0.324401756,0.014621172,0.0536777
38.42,-39.28340329,-311.579871,2.687355252,553.6161513,0.164583333,84.63555556,20170.77447,0.363130027,2.674783053,58.64659706,977.3674601,1039.05197,94.06231356,0.256088186,0.035067095,0.053164571
38.44,-39.46288656,-312.3114529,3.391639596,552.1649561,0.166305556,84.19702778,19819.65275,0.257578686,3.174952416,48.16447563,911.5975687,963.1945754,93.75463554,0.367787513,0.030650281,0.053882411
38.46,-39.72491886,-313.2052908,4.594060081,552.2834211,0.164777778,85.19830556,14549.76733,0.060919291,2.225394168,43.23928935,693.8507101,739.3763129,93.83288129,0.304026357,0.008214708,0.053085503
38.48,-39.58158942,-314.5039714,2.148743988,556.8075,0.164621622,86.96324324,27227.73701,0.112790562,2.303504001,46.231123,828.8765718,877.5239894,93.95348517,0.286721622,0.011935385,0.053466944
38.5,-39.74201323,-316.1489285,1.787177349,564.6333882,0.166916667,89.27152778,21151.44279,0.075972209,2.7919829,59.70216034,958.8717343,1021.44185,93.87315154,0.270907266,0.006567714,0.051452868
38.52,-40.22138827,-317.770839,4.000267119,572.0078289,0.169361111,91.11055556,28839.91828,0.10391354,3.148142849,86.58191043,1293.580247,1383.414213,93.4851018,0.224481881,0.007383413,0.051950067
38.54,-40.09785853,-318.1147382,2.668130056,575.6802412,0.159805556,92.32791667,34417.01983,0.181830056,3.697194391,98.64352167,1551.344676,1653.867222,93.8086051,0.221865104,0.011032455,0.051349968
38.56,-40.00838781,-317.0743471,2.9927554,576.9497368,0.163486486,93.44864865,31164.32242,0.092111682,4.393013786,89.24169893,1413.249663,1506.976487,93.77297052,0.294260084,0.006102606,0.049837389
38.58,-39.86605427,-315.9597576,2.968676589,576.2429496,0.165722222,93.90405556,28365.50014,0.15088779,4.053103395,88.04473906,1289.018444,1381.267174,93.31904414,0.293908909,0.011083143,0.049939905
38.6,-39.59253669,-314.5173767,2.222916835,572.3632237,0.166972222,94.40013889,24454.74341,0.151313372,4.171722866,77.72912353,1150.555573,1232.607733,93.33615663,0.339720558,0.012165103,0.051018698
38.62,-39.43967179,-313.05621,2.461164388,568.6908114,0.169055556,94.96680556,24682.19171,0.078417035,3.084250064,64.68014495,1029.394638,1097.23745,93.80219769,0.282094001,0.007255391,0.050516467
38.64,-39.41179805,-313.1887382,2.105646156,565.7291886,0.161361111,95.57161111,22472.2776,0.135537438,2.820573739,67.89570106,1128.255692,1199.107504,94.09496886,0.235118361,0.011216407,0.05269055
38.66,-39.46927406,-313.3538257,2.400366789,564.2996053,0.153108108,96.24781081,22558.75455,0.183278435,3.643360692,72.21137412,1135.487407,1211.52542,93.72956725,0.298359887,0.015470976,0.050826778
38.68,-39.5873168,-313.101837,3.596697395,563.3895066,0.1605,95.79963889,24607.50083,0.100476507,6.123776164,88.19608239,1206.09464,1300.514976,92.77262931,0.46442838,0.007992454,0.051674878
38.7,-39.59723001,-313.0055214,3.772318654,556.0742982,0.160916667,92.93369444,25180.10963,0.116249472,5.095208315,88.18867036,1146.058947,1239.459075,92.45177313,0.407135849,0.009586087,0.051983756
38.72,-39.43507005,-312.6304373,2.850123104,550.4472149,0.152555556,89.98922222,28438.02226,0.936179864,14.10382368,118.9673711,1318.632525,1452.639899,90.94247061,0.921844271,0.057540797,0.051663989
38.74,-39.37366767,-311.8512253,3.138116136,546.0592105,0.147513514,87.87154054,30651.63478,0.367322896,6.517461965,95.0623105,1223.310183,1325.257279,92.3375011,0.485540866,0.026572959,0.050523156
38.76,-39.43796999,-311.1693779,4.334381959,540.9107895,0.135361111,84.89675,22735.60551,0.120796293,3.934775964,69.79675321,999.3069112,1073.159237,93.11764314,0.360796721,0.01187117,0.050789175
38.78,-39.26578616,-310.5227187,3.603570585,538.1564803,0.139444444,83.75811111,17925.90918,0.186307235,4.465194658,52.53516062,756.623059,813.8097215,92.973294,0.542718006,0.021445255,0.0511652
38.8,-39.12107367,-310.1185472,2.850042223,538.4674507,0.141333333,84.548875,15368.60855,0.153823777,3.080536146,42.76421033,653.5843111,699.5828813,93.43859079,0.432791748,0.023010219,0.051604794
38.82,-39.33864711,-309.7172943,4.991882556,537.7958591,0.136058824,83.52594118,14336.16978,0.098462856,2.220828019,43.92998521,617.2435282,663.4928043,93.05310399,0.336381947,0.013477089,0.050545489
38.84,-39.09200737,-309.7688172,2.967241753,538.3230715,0.13296875,82.67040625,14254.5079,0.009992009,2.639785415,41.57043109,635.2461118,679.4663204,93.47991412,0.384554939,0.00150015,0.049660211
38.86,-39.16670636,-309.8264154,3.507235554,540.4030827,0.154571429,83.34542857,17333.46158,0.399585892,5.114201796,54.24304983,715.1258918,774.8827293,92.45867966,0.618130425,0.045114399,0.04948352
38.88,-39.3281391,-310.2447631,4.380349698,,,,19896.97041,0.644045194,5.519578703,63.28596142,883.6385609,953.0881462,92.70508108,0.579286923,0.068757848,0.050015489
38.9,-39.33784962,-311.7446395,2.958157534,,,,19727.74159,0.05171158,2.975158512,54.77970193,866.5487686,924.3553406,93.75750718,0.315506794,0.005404176,0.051069411
38.92,-39.59197376,-313.7204,3.015390085,,,,19942.13034,0.053165938,3.199335624,57.86579559,932.0182277,993.1365248,93.84478371,0.320919192,0.005635073,0.049798292
