depth_m,AC,DC
14.965,1.06E-08,2.67E-06
14.975,1.06E-08,2.53E-06
14.985,1.05E-08,2.44E-06
14.995,1.06E-08,2.35E-06
15.005,1.06E-08,2.29E-06
15.015,1.05E-08,2.23E-06
15.025,1.05E-08,2.17E-06
15.035,1.05E-08,2.09E-06
15.045,1.04E-08,2.02E-06
15.055,1.04E-08,2.11E-06
15.065,1.04E-08,2.26E-06
15.075,1.05E-08,2.36E-06
15.085,1.07E-08,2.40E-06
15.095,1.08E-08,2.38E-06
15.105,1.10E-08,2.47E-06
15.115,1.12E-08,2.52E-06
15.125,1.13E-08,2.62E-06
15.135,1.15E-08,2.70E-06
15.145,1.17E-08,2.71E-06
15.155,1.18E-08,2.70E-06
15.165,1.19E-08,2.55E-06
15.175,1.19E-08,2.50E-06
15.185,1.18E-08,2.28E-06
15.195,1.17E-08,2.03E-06
15.205,1.17E-08,1.89E-06
15.215,1.17E-08,1.70E-06
15.225,1.10E-08,1.21E-06
15.235,1.15E-08,1.18E-06
15.245,,
15.255,,
15.265,,
15.275,,
15.285,1.30E-08,5.00E-06
15.295,1.19E-08,4.00E-06
15.305,1.12E-08,3.24E-06
15.315,1.12E-08,3.42E-06
15.325,1.12E-08,3.55E-06
15.335,1.12E-08,3.76E-06
15.345,1.12E-08,4.10E-06
15.355,1.12E-08,4.27E-06
15.365,1.12E-08,4.40E-06
15.375,1.13E-08,4.55E-06
15.385,1.14E-08,4.64E-06
15.395,1.14E-08,4.72E-06
15.405,1.15E-08,4.78E-06
15.415,1.15E-08,4.86E-06
15.425,1.16E-08,4.85E-06
15.435,1.17E-08,4.87E-06
15.445,1.18E-08,5.03E-06
15.455,1.20E-08,5.18E-06
15.465,1.21E-08,5.38E-06
15.475,1.23E-08,5.58E-06
15.485,1.24E-08,5.67E-06
15.495,1.25E-08,5.74E-06
15.505,1.26E-08,5.83E-06
15.515,1.27E-08,5.81E-06
15.525,1.28E-08,5.83E-06
15.535,1.29E-08,5.84E-06
15.545,1.30E-08,5.90E-06
15.555,1.30E-08,5.99E-06
15.565,1.31E-08,6.02E-06
15.575,1.32E-08,6.03E-06
15.585,1.32E-08,6.00E-06
15.595,1.32E-08,6.00E-06
15.605,1.33E-08,5.87E-06
15.615,1.34E-08,5.98E-06
15.625,1.34E-08,5.98E-06
15.635,1.34E-08,6.11E-06
15.645,1.34E-08,6.18E-06
15.655,1.33E-08,6.17E-06
15.665,1.33E-08,6.01E-06
15.675,1.31E-08,5.87E-06
15.685,1.31E-08,5.75E-06
15.695,1.30E-08,5.73E-06
15.705,1.29E-08,5.76E-06
15.715,1.27E-08,5.70E-06
15.725,1.26E-08,5.65E-06
15.735,1.26E-08,5.66E-06
15.745,1.25E-08,5.67E-06
15.755,1.24E-08,5.49E-06
15.765,1.24E-08,5.27E-06
15.775,1.24E-08,5.22E-06
15.785,1.24E-08,5.33E-06
15.795,1.23E-08,5.36E-06
15.805,1.24E-08,5.31E-06
15.815,1.24E-08,5.31E-06
15.825,1.23E-08,5.33E-06
15.835,1.23E-08,5.21E-06
15.845,1.23E-08,5.12E-06
15.855,1.23E-08,5.12E-06
15.865,1.22E-08,4.88E-06
15.875,1.22E-08,4.85E-06
15.885,1.21E-08,4.76E-06
15.895,1.22E-08,4.74E-06
15.905,1.21E-08,4.64E-06
15.915,1.21E-08,4.48E-06
15.925,1.22E-08,4.39E-06
15.935,1.23E-08,4.31E-06
15.945,1.23E-08,4.23E-06
15.955,1.23E-08,4.09E-06
15.965,1.24E-08,3.95E-06
15.975,1.24E-08,3.76E-06
15.985,1.25E-08,3.78E-06
15.995,1.27E-08,3.80E-06
16.005,1.28E-08,3.88E-06
16.015,1.31E-08,3.89E-06
16.025,1.33E-08,3.86E-06
16.035,1.36E-08,3.39E-06
16.045,1.42E-08,3.59E-06
16.055,,
16.065,,
16.075,,
16.085,1.57E-08,3.47E-06
16.095,1.56E-08,3.73E-06
16.105,1.53E-08,3.80E-06
16.115,1.50E-08,3.69E-06
16.125,1.47E-08,3.66E-06
16.135,1.39E-08,4.19E-06
16.145,1.37E-08,4.14E-06
16.155,1.34E-08,4.06E-06
16.165,1.30E-08,3.85E-06
16.175,1.27E-08,3.72E-06
16.185,1.24E-08,3.68E-06
16.195,1.21E-08,3.54E-06
16.205,1.19E-08,3.37E-06
16.215,1.17E-08,3.34E-06
16.225,1.15E-08,3.28E-06
16.235,1.13E-08,3.18E-06
16.245,1.13E-08,3.11E-06
16.255,1.12E-08,3.09E-06
16.265,1.12E-08,3.08E-06
16.275,1.11E-08,3.05E-06
16.285,1.11E-08,3.05E-06
16.295,1.11E-08,3.05E-06
16.305,1.11E-08,2.96E-06
16.315,1.11E-08,2.85E-06
16.325,1.11E-08,2.82E-06
16.335,1.11E-08,2.79E-06
16.345,1.11E-08,2.81E-06
16.355,1.11E-08,2.81E-06
16.365,1.11E-08,2.84E-06
16.375,1.11E-08,2.89E-06
16.385,1.11E-08,2.96E-06
16.395,1.11E-08,3.04E-06
16.405,1.11E-08,3.04E-06
16.415,1.12E-08,3.13E-06
16.425,1.13E-08,3.16E-06
16.435,1.14E-08,3.30E-06
16.445,1.16E-08,3.52E-06
16.455,1.19E-08,3.81E-06
16.465,1.20E-08,3.92E-06
16.475,1.22E-08,3.98E-06
16.485,1.23E-08,4.06E-06
16.495,1.25E-08,4.20E-06
16.505,1.26E-08,4.26E-06
16.515,1.27E-08,4.34E-06
16.525,1.28E-08,4.34E-06
16.535,1.27E-08,4.23E-06
16.545,1.26E-08,4.18E-06
16.555,1.24E-08,4.08E-06
16.565,1.23E-08,3.87E-06
16.575,1.22E-08,3.84E-06
16.585,1.21E-08,3.80E-06
16.595,1.19E-08,3.68E-06
16.605,1.17E-08,3.58E-06
16.615,1.16E-08,3.49E-06
16.625,1.14E-08,3.44E-06
16.635,1.12E-08,3.38E-06
16.645,1.11E-08,3.41E-06
16.655,1.09E-08,3.41E-06
16.665,1.09E-08,3.34E-06
16.675,1.08E-08,3.35E-06
16.685,1.07E-08,3.30E-06
16.695,1.07E-08,3.24E-06
16.705,1.07E-08,3.20E-06
16.715,1.07E-08,3.15E-06
16.725,1.09E-08,3.14E-06
16.735,1.09E-08,3.18E-06
16.745,1.09E-08,3.25E-06
16.755,1.09E-08,3.21E-06
16.765,1.09E-08,3.17E-06
16.775,1.09E-08,3.16E-06
16.785,1.09E-08,3.15E-06
16.795,1.09E-08,3.06E-06
16.805,1.09E-08,3.10E-06
16.815,1.09E-08,3.02E-06
16.825,1.09E-08,2.95E-06
16.835,1.10E-08,2.88E-06
16.845,1.10E-08,2.86E-06
16.855,1.10E-08,2.78E-06
16.865,1.10E-08,2.83E-06
16.875,1.10E-08,2.75E-06
16.885,1.09E-08,2.69E-06
16.895,1.09E-08,2.58E-06
16.905,1.09E-08,2.52E-06
16.915,1.09E-08,2.50E-06
16.925,1.09E-08,2.43E-06
16.935,1.09E-08,2.45E-06
16.945,1.09E-08,2.41E-06
16.955,1.09E-08,2.38E-06
16.965,1.09E-08,2.42E-06
16.975,1.09E-08,2.34E-06
16.985,1.09E-08,2.35E-06
16.995,1.09E-08,2.34E-06
17.005,1.10E-08,2.39E-06
17.015,1.11E-08,2.41E-06
17.025,1.11E-08,2.37E-06
17.035,1.12E-08,2.43E-06
17.045,1.13E-08,2.47E-06
17.055,1.14E-08,2.36E-06
17.065,1.15E-08,2.47E-06
17.075,1.16E-08,2.56E-06
17.085,1.17E-08,2.63E-06
17.095,1.19E-08,2.70E-06
17.105,1.19E-08,2.64E-06
17.115,1.21E-08,2.65E-06
17.125,1.22E-08,2.61E-06
17.135,1.24E-08,2.78E-06
17.145,,
17.155,,
17.165,,
17.175,,
17.185,,
17.195,,
17.205,,
17.215,,
17.225,1.26E-08,5.90E-06
17.235,1.43E-08,6.38E-06
17.245,1.45E-08,6.65E-06
17.255,1.44E-08,6.78E-06
17.265,1.42E-08,6.81E-06
17.275,1.41E-08,6.78E-06
17.285,1.40E-08,6.84E-06
17.295,1.39E-08,6.84E-06
